provider,scrape_run_id,event_id,schedule_id,age_year,gender,team_id,team_id_source,team_name,club_name,opponent_id,opponent_id_source,opponent_name,opponent_club_name,game_date,game_time,home_away,goals_for,goals_against,result,venue,source_url,scraped_at
tgs,2025-12-11T20:26:36.840795+00:00_ff270d,4066,37045,2012,Girls,124683,124683,Oaks FC - VC Oaks G2012 DPL,Oaks FC,106328,106328,Santa Barbara SC - CCA G12 GA Aspire,Santa Barbara SC,2025-11-29,09:00:00,H,1,1,D,Field 6,https://public.totalglobalsports.com/public/event/4066,2025-12-11T20:26:36.840795+00:00
tgs,2025-12-11T20:26:36.840795+00:00_ff270d,4066,37045,2012,Girls,106328,106328,Santa Barbara SC - CCA G12 GA Aspire,Santa Barbara SC,124683,124683,Oaks FC - VC Oaks G2012 DPL,Oaks FC,2025-11-29,09:00:00,A,1,1,D,Field 6,https://public.totalglobalsports.com/public/event/4066,2025-12-11T20:26:36.840795+00:00
tgs,2025-12-11T20:26:36.840795+00:00_ff270d,4066,37045,2012,Girls,64447,64447,Eagles SC ECNL RL G12,Eagles Soccer Club,106328,106328,Santa Barbara SC - CCA G12 GA Aspire,Santa Barbara SC,2025-11-29,11:40:00,H,4,0,W,Field 6,https://public.totalglobalsports.com/public/event/4066,2025-12-11T20:26:36.840795+00:00
tgs,2025-12-11T20:26:36.840795+00:00_ff270d,4066,37045,2012,Girls,106328,106328,Santa Barbara SC - CCA G12 GA Aspire,Santa Barbara SC,64447,64447,Eagles SC ECNL RL G12,Eagles Soccer Club,2025-11-29,11:40:00,A,0,4,L,Field 6,https://public.totalglobalsports.com/public/event/4066,2025-12-11T20:26:36.840795+00:00
tgs,2025-12-11T20:26:36.840795+00:00_ff270d,4066,37045,2012,Girls,63947,63947,Eagles SC ECNL G13,Eagles Soccer Club,124683,124683,Oaks FC - VC Oaks G2012 DPL,Oaks FC,2025-11-29,11:40:00,H,8,0,W,Field 4,https://public.totalglobalsports.com/public/event/4066,2025-12-11T20:26:36.840795+00:00
tgs,2025-12-11T20:26:36.840795+00:00_ff270d,4066,37045,2012,Girls,124683,124683,Oaks FC - VC Oaks G2012 DPL,Oaks FC,63947,63947,Eagles SC ECNL G13,Eagles Soccer Club,2025-11-29,11:40:00,A,0,8,L,Field 4,https://public.totalglobalsports.com/public/event/4066,2025-12-11T20:26:36.840795+00:00
tgs,2025-12-11T20:26:36.840795+00:00_ff270d,4066,37045,2012,Girls,64447,64447,Eagles SC ECNL RL G12,Eagles Soccer Club,63947,63947,Eagles SC ECNL G13,Eagles Soccer Club,2025-11-29,14:20:00,H,1,3,L,Field 4,https://public.totalglobalsports.com/public/event/4066,2025-12-11T20:26:36.840795+00:00
tgs,2025-12-11T20:26:36.840795+00:00_ff270d,4066,37045,2012,Girls,63947,63947,Eagles SC ECNL G13,Eagles Soccer Club,64447,64447,Eagles SC ECNL RL G12,Eagles Soccer Club,2025-11-29,14:20:00,A,3,1,W,Field 4,https://public.totalglobalsports.com/public/event/4066,2025-12-11T20:26:36.840795+00:00
tgs,2025-12-11T20:26:36.840795+00:00_ff270d,4066,37045,2012,Girls,124683,124683,Oaks FC - VC Oaks G2012 DPL,Oaks FC,64447,64447,Eagles SC ECNL RL G12,Eagles Soccer Club,2025-11-30,09:00:00,H,1,5,L,Field 6,https://public.totalglobalsports.com/public/event/4066,2025-12-11T20:26:36.840795+00:00
tgs,2025-12-11T20:26:36.840795+00:00_ff270d,4066,37045,2012,Girls,64447,64447,Eagles SC ECNL RL G12,Eagles Soccer Club,124683,124683,Oaks FC - VC Oaks G2012 DPL,Oaks FC,2025-11-30,09:00:00,A,5,1,W,Field 6,https://public.totalglobalsports.com/public/event/4066,2025-12-11T20:26:36.840795+00:00
tgs,2025-12-11T20:26:36.840795+00:00_ff270d,4066,37045,2012,Girls,63947,63947,Eagles SC ECNL G13,Eagles Soccer Club,106328,106328,Santa Barbara SC - CCA G12 GA Aspire,Santa Barbara SC,2025-11-30,09:00:00,H,1,1,D,Field 4,https://public.totalglobalsports.com/public/event/4066,2025-12-11T20:26:36.840795+00:00
tgs,2025-12-11T20:26:36.840795+00:00_ff270d,4066,37045,2012,Girls,106328,106328,Santa Barbara SC - CCA G12 GA Aspire,Santa Barbara SC,63947,63947,Eagles SC ECNL G13,Eagles Soccer Club,2025-11-30,09:00:00,A,1,1,D,Field 4,https://public.totalglobalsports.com/public/event/4066,2025-12-11T20:26:36.840795+00:00
tgs,2025-12-11T20:26:36.840795+00:00_ff270d,4066,37045,2012,Girls,63947,63947,Eagles SC ECNL G13,Eagles Soccer Club,64447,64447,Eagles SC ECNL RL G12,Eagles Soccer Club,2025-11-30,11:40:00,H,2,1,W,Field 4,https://public.totalglobalsports.com/public/event/4066,2025-12-11T20:26:36.840795+00:00
tgs,2025-12-11T20:26:36.840795+00:00_ff270d,4066,37045,2012,Girls,64447,64447,Eagles SC ECNL RL G12,Eagles Soccer Club,63947,63947,Eagles SC ECNL G13,Eagles Soccer Club,2025-11-30,11:40:00,A,1,2,L,Field 4,https://public.totalglobalsports.com/public/event/4066,2025-12-11T20:26:36.840795+00:00
tgs,2025-12-11T20:26:36.840795+00:00_ff270d,4066,37059,2012,Girls,105213,105213,NP Elite FC - IKONIK,NP Elite FC,106809,106809,Total Futbol Academy-VC - TFA-VC G2012,Total Futbol Academy-VC,2025-11-29,09:00:00,H,2,1,W,Field 2,https://public.totalglobalsports.com/public/event/4066,2025-12-11T20:26:36.840795+00:00
tgs,2025-12-11T20:26:36.840795+00:00_ff270d,4066,37059,2012,Girls,106809,106809,Total Futbol Academy-VC - TFA-VC G2012,Total Futbol Academy-VC,105213,105213,NP Elite FC - IKONIK,NP Elite FC,2025-11-29,09:00:00,A,1,2,L,Field 2,https://public.totalglobalsports.com/public/event/4066,2025-12-11T20:26:36.840795+00:00
tgs,2025-12-11T20:26:36.840795+00:00_ff270d,4066,37059,2012,Girls,56384,56384,So Cal Pride FC - SoCal Pride FC G2012,So Cal Pride FC,114910,114910,Unico FC - G2012 Black,Unico FC,2025-11-29,09:00:00,H,4,2,W,Field 1,https://public.totalglobalsports.com/public/event/4066,2025-12-11T20:26:36.840795+00:00
tgs,2025-12-11T20:26:36.840795+00:00_ff270d,4066,37059,2012,Girls,114910,114910,Unico FC - G2012 Black,Unico FC,56384,56384,So Cal Pride FC - SoCal Pride FC G2012,So Cal Pride FC,2025-11-29,09:00:00,A,2,4,L,Field 1,https://public.totalglobalsports.com/public/event/4066,2025-12-11T20:26:36.840795+00:00
tgs,2025-12-11T20:26:36.840795+00:00_ff270d,4066,37059,2012,Girls,56384,56384,So Cal Pride FC - SoCal Pride FC G2012,So Cal Pride FC,106809,106809,Total Futbol Academy-VC - TFA-VC G2012,Total Futbol Academy-VC,2025-11-29,11:40:00,H,2,0,W,Field 2,https://public.totalglobalsports.com/public/event/4066,2025-12-11T20:26:36.840795+00:00
tgs,2025-12-11T20:26:36.840795+00:00_ff270d,4066,37059,2012,Girls,106809,106809,Total Futbol Academy-VC - TFA-VC G2012,Total Futbol Academy-VC,56384,56384,So Cal Pride FC - SoCal Pride FC G2012,So Cal Pride FC,2025-11-29,11:40:00,A,0,2,L,Field 2,https://public.totalglobalsports.com/public/event/4066,2025-12-11T20:26:36.840795+00:00
tgs,2025-12-11T20:26:36.840795+00:00_ff270d,4066,37059,2012,Girls,114910,114910,Unico FC - G2012 Black,Unico FC,105213,105213,NP Elite FC - IKONIK,NP Elite FC,2025-11-29,14:20:00,H,2,0,W,Field 3,https://public.totalglobalsports.com/public/event/4066,2025-12-11T20:26:36.840795+00:00
tgs,2025-12-11T20:26:36.840795+00:00_ff270d,4066,37059,2012,Girls,105213,105213,NP Elite FC - IKONIK,NP Elite FC,114910,114910,Unico FC - G2012 Black,Unico FC,2025-11-29,14:20:00,A,0,2,L,Field 3,https://public.totalglobalsports.com/public/event/4066,2025-12-11T20:26:36.840795+00:00
tgs,2025-12-11T20:26:36.840795+00:00_ff270d,4066,37059,2012,Girls,105213,105213,NP Elite FC - IKONIK,NP Elite FC,56384,56384,So Cal Pride FC - SoCal Pride FC G2012,So Cal Pride FC,2025-11-30,09:00:00,H,0,4,L,Field 1,https://public.totalglobalsports.com/public/event/4066,2025-12-11T20:26:36.840795+00:00
tgs,2025-12-11T20:26:36.840795+00:00_ff270d,4066,37059,2012,Girls,56384,56384,So Cal Pride FC - SoCal Pride FC G2012,So Cal Pride FC,105213,105213,NP Elite FC - IKONIK,NP Elite FC,2025-11-30,09:00:00,A,4,0,W,Field 1,https://public.totalglobalsports.com/public/event/4066,2025-12-11T20:26:36.840795+00:00
tgs,2025-12-11T20:26:36.840795+00:00_ff270d,4066,37059,2012,Girls,114910,114910,Unico FC - G2012 Black,Unico FC,106809,106809,Total Futbol Academy-VC - TFA-VC G2012,Total Futbol Academy-VC,2025-11-30,09:00:00,H,4,2,W,Field 2,https://public.totalglobalsports.com/public/event/4066,2025-12-11T20:26:36.840795+00:00
tgs,2025-12-11T20:26:36.840795+00:00_ff270d,4066,37059,2012,Girls,106809,106809,Total Futbol Academy-VC - TFA-VC G2012,Total Futbol Academy-VC,114910,114910,Unico FC - G2012 Black,Unico FC,2025-11-30,09:00:00,A,2,4,L,Field 2,https://public.totalglobalsports.com/public/event/4066,2025-12-11T20:26:36.840795+00:00
tgs,2025-12-11T20:26:36.840795+00:00_ff270d,4066,37059,2012,Girls,56384,56384,So Cal Pride FC - SoCal Pride FC G2012,So Cal Pride FC,114910,114910,Unico FC - G2012 Black,Unico FC,2025-11-30,11:40:00,H,4,0,W,Field 3,https://public.totalglobalsports.com/public/event/4066,2025-12-11T20:26:36.840795+00:00
tgs,2025-12-11T20:26:36.840795+00:00_ff270d,4066,37059,2012,Girls,114910,114910,Unico FC - G2012 Black,Unico FC,56384,56384,So Cal Pride FC - SoCal Pride FC G2012,So Cal Pride FC,2025-11-30,11:40:00,A,0,4,L,Field 3,https://public.totalglobalsports.com/public/event/4066,2025-12-11T20:26:36.840795+00:00
tgs,2025-12-11T20:26:36.840795+00:00_ff270d,4066,37044,2013,Girls,104625,104625,Eagles SC ECNL RL G13,Eagles Soccer Club,92370,92370,Eagles Soccer Club - G2014,Eagles Soccer Club,2025-11-29,09:00:00,H,1,1,D,Field 4,https://public.totalglobalsports.com/public/event/4066,2025-12-11T20:26:36.840795+00:00
tgs,2025-12-11T20:26:36.840795+00:00_ff270d,4066,37044,2013,Girls,92370,92370,Eagles Soccer Club - G2014,Eagles Soccer Club,104625,104625,Eagles SC ECNL RL G13,Eagles Soccer Club,2025-11-29,09:00:00,A,1,1,D,Field 4,https://public.totalglobalsports.com/public/event/4066,2025-12-11T20:26:36.840795+00:00
tgs,2025-12-11T20:26:36.840795+00:00_ff270d,4066,37044,2013,Girls,58574,58574,California United FC - 2013G,California United,91555,91555,Santa Barbara SC - G2013 GA Aspire,Santa Barbara SC,2025-11-29,10:20:00,H,2,4,L,Field 4,https://public.totalglobalsports.com/public/event/4066,2025-12-11T20:26:36.840795+00:00
tgs,2025-12-11T20:26:36.840795+00:00_ff270d,4066,37044,2013,Girls,91555,91555,Santa Barbara SC - G2013 GA Aspire,Santa Barbara SC,58574,58574,California United FC - 2013G,California United,2025-11-29,10:20:00,A,4,2,W,Field 4,https://public.totalglobalsports.com/public/event/4066,2025-12-11T20:26:36.840795+00:00
tgs,2025-12-11T20:26:36.840795+00:00_ff270d,4066,37044,2013,Girls,92370,92370,Eagles Soccer Club - G2014,Eagles Soccer Club,91555,91555,Santa Barbara SC - G2013 GA Aspire,Santa Barbara SC,2025-11-29,13:00:00,H,1,0,W,Field 4,https://public.totalglobalsports.com/public/event/4066,2025-12-11T20:26:36.840795+00:00
tgs,2025-12-11T20:26:36.840795+00:00_ff270d,4066,37044,2013,Girls,91555,91555,Santa Barbara SC - G2013 GA Aspire,Santa Barbara SC,92370,92370,Eagles Soccer Club - G2014,Eagles Soccer Club,2025-11-29,13:00:00,A,0,1,L,Field 4,https://public.totalglobalsports.com/public/event/4066,2025-12-11T20:26:36.840795+00:00
tgs,2025-12-11T20:26:36.840795+00:00_ff270d,4066,37044,2013,Girls,58574,58574,California United FC - 2013G,California United,104625,104625,Eagles SC ECNL RL G13,Eagles Soccer Club,2025-11-29,13:00:00,H,2,0,W,Field 6,https://public.totalglobalsports.com/public/event/4066,2025-12-11T20:26:36.840795+00:00
tgs,2025-12-11T20:26:36.840795+00:00_ff270d,4066,37044,2013,Girls,104625,104625,Eagles SC ECNL RL G13,Eagles Soccer Club,58574,58574,California United FC - 2013G,California United,2025-11-29,13:00:00,A,0,2,L,Field 6,https://public.totalglobalsports.com/public/event/4066,2025-12-11T20:26:36.840795+00:00
tgs,2025-12-11T20:26:36.840795+00:00_ff270d,4066,37044,2013,Girls,92370,92370,Eagles Soccer Club - G2014,Eagles Soccer Club,58574,58574,California United FC - 2013G,California United,2025-11-30,10:20:00,H,2,2,D,Field 4,https://public.totalglobalsports.com/public/event/4066,2025-12-11T20:26:36.840795+00:00
tgs,2025-12-11T20:26:36.840795+00:00_ff270d,4066,37044,2013,Girls,58574,58574,California United FC - 2013G,California United,92370,92370,Eagles Soccer Club - G2014,Eagles Soccer Club,2025-11-30,10:20:00,A,2,2,D,Field 4,https://public.totalglobalsports.com/public/event/4066,2025-12-11T20:26:36.840795+00:00
tgs,2025-12-11T20:26:36.840795+00:00_ff270d,4066,37044,2013,Girls,104625,104625,Eagles SC ECNL RL G13,Eagles Soccer Club,91555,91555,Santa Barbara SC - G2013 GA Aspire,Santa Barbara SC,2025-11-30,10:20:00,H,0,4,L,Field 6,https://public.totalglobalsports.com/public/event/4066,2025-12-11T20:26:36.840795+00:00
tgs,2025-12-11T20:26:36.840795+00:00_ff270d,4066,37044,2013,Girls,91555,91555,Santa Barbara SC - G2013 GA Aspire,Santa Barbara SC,104625,104625,Eagles SC ECNL RL G13,Eagles Soccer Club,2025-11-30,10:20:00,A,4,0,W,Field 6,https://public.totalglobalsports.com/public/event/4066,2025-12-11T20:26:36.840795+00:00
tgs,2025-12-11T20:26:36.840795+00:00_ff270d,4066,37044,2013,Girls,91555,91555,Santa Barbara SC - G2013 GA Aspire,Santa Barbara SC,92370,92370,Eagles Soccer Club - G2014,Eagles Soccer Club,2025-11-30,13:00:00,H,2,0,W,Field 6,https://public.totalglobalsports.com/public/event/4066,2025-12-11T20:26:36.840795+00:00
tgs,2025-12-11T20:26:36.840795+00:00_ff270d,4066,37044,2013,Girls,92370,92370,Eagles Soccer Club - G2014,Eagles Soccer Club,91555,91555,Santa Barbara SC - G2013 GA Aspire,Santa Barbara SC,2025-11-30,13:00:00,A,0,2,L,Field 6,https://public.totalglobalsports.com/public/event/4066,2025-12-11T20:26:36.840795+00:00
tgs,2025-12-11T20:26:36.840795+00:00_ff270d,4066,37058,2013,Girls,123413,123413,AYSO United - United Conejo Valley,AYSO United,70422,70422,Oxnard United SC - G2013 Blue,Oxnard United SC,2025-11-29,09:00:00,H,1,4,L,Field 3,https://public.totalglobalsports.com/public/event/4066,2025-12-11T20:26:36.840795+00:00
tgs,2025-12-11T20:26:36.840795+00:00_ff270d,4066,37058,2013,Girls,70422,70422,Oxnard United SC - G2013 Blue,Oxnard United SC,123413,123413,AYSO United - United Conejo Valley,AYSO United,2025-11-29,09:00:00,A,4,1,W,Field 3,https://public.totalglobalsports.com/public/event/4066,2025-12-11T20:26:36.840795+00:00
tgs,2025-12-11T20:26:36.840795+00:00_ff270d,4066,37058,2013,Girls,68856,68856,Total Futbol Academy - TFA-AV G2014,Total Futbol Academy,122482,122482,So Cal Pride FC - G2013 Girls,So Cal Pride FC,2025-11-29,09:00:00,H,2,2,D,Field 5,https://public.totalglobalsports.com/public/event/4066,2025-12-11T20:26:36.840795+00:00
tgs,2025-12-11T20:26:36.840795+00:00_ff270d,4066,37058,2013,Girls,122482,122482,So Cal Pride FC - G2013 Girls,So Cal Pride FC,68856,68856,Total Futbol Academy - TFA-AV G2014,Total Futbol Academy,2025-11-29,09:00:00,A,2,2,D,Field 5,https://public.totalglobalsports.com/public/event/4066,2025-12-11T20:26:36.840795+00:00
tgs,2025-12-11T20:26:36.840795+00:00_ff270d,4066,37058,2013,Girls,70422,70422,Oxnard United SC - G2013 Blue,Oxnard United SC,122482,122482,So Cal Pride FC - G2013 Girls,So Cal Pride FC,2025-11-29,11:40:00,H,5,1,W,Field 5,https://public.totalglobalsports.com/public/event/4066,2025-12-11T20:26:36.840795+00:00
tgs,2025-12-11T20:26:36.840795+00:00_ff270d,4066,37058,2013,Girls,122482,122482,So Cal Pride FC - G2013 Girls,So Cal Pride FC,70422,70422,Oxnard United SC - G2013 Blue,Oxnard United SC,2025-11-29,11:40:00,A,1,5,L,Field 5,https://public.totalglobalsports.com/public/event/4066,2025-12-11T20:26:36.840795+00:00
tgs,2025-12-11T20:26:36.840795+00:00_ff270d,4066,37058,2013,Girls,68856,68856,Total Futbol Academy - TFA-AV G2014,Total Futbol Academy,123413,123413,AYSO United - United Conejo Valley,AYSO United,2025-11-29,11:40:00,H,0,8,L,Field 1,https://public.totalglobalsports.com/public/event/4066,2025-12-11T20:26:36.840795+00:00
tgs,2025-12-11T20:26:36.840795+00:00_ff270d,4066,37058,2013,Girls,123413,123413,AYSO United - United Conejo Valley,AYSO United,68856,68856,Total Futbol Academy - TFA-AV G2014,Total Futbol Academy,2025-11-29,11:40:00,A,8,0,W,Field 1,https://public.totalglobalsports.com/public/event/4066,2025-12-11T20:26:36.840795+00:00
tgs,2025-12-11T20:26:36.840795+00:00_ff270d,4066,37058,2013,Girls,70422,70422,Oxnard United SC - G2013 Blue,Oxnard United SC,68856,68856,Total Futbol Academy - TFA-AV G2014,Total Futbol Academy,2025-11-30,09:00:00,H,8,0,W,Field 5,https://public.totalglobalsports.com/public/event/4066,2025-12-11T20:26:36.840795+00:00
tgs,2025-12-11T20:26:36.840795+00:00_ff270d,4066,37058,2013,Girls,68856,68856,Total Futbol Academy - TFA-AV G2014,Total Futbol Academy,70422,70422,Oxnard United SC - G2013 Blue,Oxnard United SC,2025-11-30,09:00:00,A,0,8,L,Field 5,https://public.totalglobalsports.com/public/event/4066,2025-12-11T20:26:36.840795+00:00
tgs,2025-12-11T20:26:36.840795+00:00_ff270d,4066,37058,2013,Girls,123413,123413,AYSO United - United Conejo Valley,AYSO United,122482,122482,So Cal Pride FC - G2013 Girls,So Cal Pride FC,2025-11-30,09:00:00,H,1,0,W,Field 3,https://public.totalglobalsports.com/public/event/4066,2025-12-11T20:26:36.840795+00:00
tgs,2025-12-11T20:26:36.840795+00:00_ff270d,4066,37058,2013,Girls,122482,122482,So Cal Pride FC - G2013 Girls,So Cal Pride FC,123413,123413,AYSO United - United Conejo Valley,AYSO United,2025-11-30,09:00:00,A,0,1,L,Field 3,https://public.totalglobalsports.com/public/event/4066,2025-12-11T20:26:36.840795+00:00
tgs,2025-12-11T20:26:36.840795+00:00_ff270d,4066,37058,2013,Girls,70422,70422,Oxnard United SC - G2013 Blue,Oxnard United SC,123413,123413,AYSO United - United Conejo Valley,AYSO United,2025-11-30,11:40:00,H,2,0,W,Field 6,https://public.totalglobalsports.com/public/event/4066,2025-12-11T20:26:36.840795+00:00
tgs,2025-12-11T20:26:36.840795+00:00_ff270d,4066,37058,2013,Girls,123413,123413,AYSO United - United Conejo Valley,AYSO United,70422,70422,Oxnard United SC - G2013 Blue,Oxnard United SC,2025-11-30,11:40:00,A,0,2,L,Field 6,https://public.totalglobalsports.com/public/event/4066,2025-12-11T20:26:36.840795+00:00
tgs,2025-12-11T20:26:36.840795+00:00_ff270d,4066,37043,2014,Girls,76088,76088,Eagles SC G2015,Eagles Soccer Club,76920,76920,Legends FC SCV - G15 FC,Legends FC SCV,2025-11-29,10:20:00,H,2,1,W,Field 14,https://public.totalglobalsports.com/public/event/4066,2025-12-11T20:26:36.840795+00:00
tgs,2025-12-11T20:26:36.840795+00:00_ff270d,4066,37043,2014,Girls,76920,76920,Legends FC SCV - G15 FC,Legends FC SCV,76088,76088,Eagles SC G2015,Eagles Soccer Club,2025-11-29,10:20:00,A,1,2,L,Field 14,https://public.totalglobalsports.com/public/event/4066,2025-12-11T20:26:36.840795+00:00
tgs,2025-12-11T20:26:36.840795+00:00_ff270d,4066,37043,2014,Girls,122194,122194,AYSO United - United SoCal AV G2014,AYSO United,110768,110768,Eagles Soccer Club - 2014 Eagles White,Eagles Soccer Club,2025-11-29,10:20:00,H,1,5,L,Field 15,https://public.totalglobalsports.com/public/event/4066,2025-12-11T20:26:36.840795+00:00
tgs,2025-12-11T20:26:36.840795+00:00_ff270d,4066,37043,2014,Girls,110768,110768,Eagles Soccer Club - 2014 Eagles White,Eagles Soccer Club,122194,122194,AYSO United - United SoCal AV G2014,AYSO United,2025-11-29,10:20:00,A,5,1,W,Field 15,https://public.totalglobalsports.com/public/event/4066,2025-12-11T20:26:36.840795+00:00
tgs,2025-12-11T20:26:36.840795+00:00_ff270d,4066,37043,2014,Girls,122194,122194,AYSO United - United SoCal AV G2014,AYSO United,76920,76920,Legends FC SCV - G15 FC,Legends FC SCV,2025-11-29,14:20:00,H,3,5,L,Field 12,https://public.totalglobalsports.com/public/event/4066,2025-12-11T20:26:36.840795+00:00
tgs,2025-12-11T20:26:36.840795+00:00_ff270d,4066,37043,2014,Girls,76920,76920,Legends FC SCV - G15 FC,Legends FC SCV,122194,122194,AYSO United - United SoCal AV G2014,AYSO United,2025-11-29,14:20:00,A,5,3,W,Field 12,https://public.totalglobalsports.com/public/event/4066,2025-12-11T20:26:36.840795+00:00
tgs,2025-12-11T20:26:36.840795+00:00_ff270d,4066,37043,2014,Girls,110768,110768,Eagles Soccer Club - 2014 Eagles White,Eagles Soccer Club,76088,76088,Eagles SC G2015,Eagles Soccer Club,2025-11-29,14:30:00,H,0,1,L,Field 11,https://public.totalglobalsports.com/public/event/4066,2025-12-11T20:26:36.840795+00:00
tgs,2025-12-11T20:26:36.840795+00:00_ff270d,4066,37043,2014,Girls,76088,76088,Eagles SC G2015,Eagles Soccer Club,110768,110768,Eagles Soccer Club - 2014 Eagles White,Eagles Soccer Club,2025-11-29,14:30:00,A,1,0,W,Field 11,https://public.totalglobalsports.com/public/event/4066,2025-12-11T20:26:36.840795+00:00
tgs,2025-12-11T20:26:36.840795+00:00_ff270d,4066,37043,2014,Girls,76088,76088,Eagles SC G2015,Eagles Soccer Club,122194,122194,AYSO United - United SoCal AV G2014,AYSO United,2025-11-30,09:00:00,H,4,1,W,Field 14,https://public.totalglobalsports.com/public/event/4066,2025-12-11T20:26:36.840795+00:00
tgs,2025-12-11T20:26:36.840795+00:00_ff270d,4066,37043,2014,Girls,122194,122194,AYSO United - United SoCal AV G2014,AYSO United,76088,76088,Eagles SC G2015,Eagles Soccer Club,2025-11-30,09:00:00,A,1,4,L,Field 14,https://public.totalglobalsports.com/public/event/4066,2025-12-11T20:26:36.840795+00:00
tgs,2025-12-11T20:26:36.840795+00:00_ff270d,4066,37043,2014,Girls,110768,110768,Eagles Soccer Club - 2014 Eagles White,Eagles Soccer Club,76920,76920,Legends FC SCV - G15 FC,Legends FC SCV,2025-11-30,09:00:00,H,3,5,L,Field 12,https://public.totalglobalsports.com/public/event/4066,2025-12-11T20:26:36.840795+00:00
tgs,2025-12-11T20:26:36.840795+00:00_ff270d,4066,37043,2014,Girls,76920,76920,Legends FC SCV - G15 FC,Legends FC SCV,110768,110768,Eagles Soccer Club - 2014 Eagles White,Eagles Soccer Club,2025-11-30,09:00:00,A,5,3,W,Field 12,https://public.totalglobalsports.com/public/event/4066,2025-12-11T20:26:36.840795+00:00
